symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"JARHEAD","82WaxsDsU8gtfEdeHaQqNzPjDMwJ1QaiTYdZ4BAnpump","71","3","","","","","","","","","","","","","0.000002362","","","","0.000002362","","","2026-07-04T17:37:51.589Z","","","","2026-07-04T17:38:32.963Z","",""
"MPM","9UvCjASjsFvzFcJhSYnJSWWtFTrqa7o3z1HiYDcapump","71","3.950617282","","","","","","","","","","","","","0.000002304","","","","0.000002304","","","2026-07-04T17:38:09.675Z","","","","2026-07-04T17:39:02.760Z","",""
"ansem","ABxM6YvX6Vs4mNVucP7EfX43PsTKJSjQrXKawt7dDop5","","","","","","","","","","","","","","","","","","","","","0.000002305","","","","","","2026-07-04T17:38:15.667Z",""
"Dawg","3Ayy9Fe5W1TAL1u6DVa9zmowXRhUdhiAuVztaP7VErEX","71","3","","-42.004","","","","","-25.827612509534703","","","","","","0.000005136","0.000006555","","","0.000004862","","","2026-07-04T17:38:22.066Z","2026-07-04T17:39:44.973Z","","","2026-07-04T17:39:02.969Z","",""
"ANSEM","7mKASNrmyiw8Fg2d3sEZk57ybTfddid62FrQhgGWpump","68","3.950617282","","","","","","","","","","","","","0.000002347","","","","0.000002347","","","2026-07-04T17:38:22.464Z","","","","2026-07-04T17:39:08.765Z","",""
"SKY","FgBseYFGQppUrnszpBdfcxPubbgJoG9gez21TvNspump","71","2.999999999","","","","","","","","","","","","","0.00001534","0.00001899","","","","","","2026-07-04T17:39:09.627Z","2026-07-04T17:40:14.811Z","","","","",""
"MEMECOINS","EdxSLbmpX4fBMAgUT2Bs159qEZ9S34ZtUCnb857Kpump","71","3","","","","","","","","","","","","","0.000002411","0.000002411","","","","","","2026-07-04T17:39:15.601Z","2026-07-04T17:40:14.765Z","","","","",""
"SKY","Gokac6g6eawafKjWHDaftwvHpc1prt2HLTRua71hpump","68","5","","","","","","","","","","","","","0.000002414","","","","","","","2026-07-04T17:39:21.600Z","","","","","",""
"MEME","6KvCZmweTNWvkbtEk3Q2MBL9vJDm6XnzzRyxZ8Hubvxk","","","","","","","","","","","","","","","","","","","","","0.000002454","","","","","","2026-07-04T17:40:51.990Z",""
"LIFE","DbQFTSkYuHQPQXT7B3CBNHfgBaJcdxtJVv2dKrbzpump","93","17.777777776","","","","","","","","","","","","","0.000003613","","","","","","","2026-07-04T17:40:52.390Z","","","","","",""
"TESLA","54Ht89tFwL2wJLZaccoZoU4ejJc2Y8yF3aVSAM9kpump","92","15.000000001","","","","","","","","","","","","","0.000006706","","","","","","","2026-07-04T17:42:39.643Z","","","","","",""
"KENTON","7YLbHozuCyWvUzLp1YxE3CoFpyHhiuFcjrzc7fSYpump","71","2.962962961","","","","","","","","","","","","","0.000002413","","","","","","","2026-07-04T17:43:03.636Z","","","","","",""
"SKY","BMvJsoR3PsPZ4Gw1UUgTDzhneWnqJTVGq41UP2CMpump","75","3.950617282","","","","","","","","","","","","","0.000002363","0.000002363","","","","","","2026-07-04T17:43:45.682Z","2026-07-04T17:44:44.759Z","","","","",""
"BULL","DetGUBUXYmyPSatXndEHubqgx48ViHvBAe5XAujjpump","71","3.100000001","","","","","","","","","","","","","0.000002814","0.000002814","","","","","","2026-07-04T17:45:20.961Z","2026-07-04T17:45:44.755Z","","","","",""
"Pauly","B6bcWeyuJiausn6mVytz4cL42MhGhrBZJmjRAkPpump","95","26.271604937","","","","","","","","","","","","","0.00001561","","","","0.000002364","","0.000002364","2026-07-04T17:46:03.561Z","","","","2026-07-04T17:46:33.047Z","2026-07-04T17:46:33.046Z",""
"BFC","6W6wRVTThzG1kfAcY5vmhEt29Rj6nLQCip6Hn26rpump","71","3","","","","","","","","","","","","","0.000008141","","","","0.000005429","","","2026-07-04T17:46:51.613Z","","","","2026-07-04T17:48:02.990Z","",""
"BFC","BLJ5pj1YdWmPnyp6o5KgHXAmTkaA8ZRfXyQJXfGjpump","76","4","","","","","","","","","","","","","0.000002306","","","","0.000002306","","","2026-07-04T17:47:09.647Z","","","","2026-07-04T17:47:26.759Z","",""
"bullpost ","rrKsJcziYB4x7snTYq2vP2FdYh6hYuMiVmzyNzwpump","95","26.178010471","","-36.019","","","","","-45.125","","","","","","0.000009116","0.0000152","","","0.000008341","","","2026-07-04T17:48:10.411Z","2026-07-04T17:49:20.959Z","","","2026-07-04T17:48:44.940Z","",""
